id,SalePrice
1461,121138.975265
1462,154409.961728
1463,181789.163119
1464,194145.559591
1465,199958.380152
1466,172724.033105
1467,176481.04555
1468,161945.950014
1469,196486.563969
1470,120898.795964
1471,190351.24145
1472,97984.6177399
1473,95475.5965989
1474,147038.58231
1475,116371.901572
1476,359104.031535
1477,249446.056486
1478,299382.263803
1479,294539.320949
1480,466923.9686
1481,323633.001167
1482,211327.145427
1483,178086.886063
1484,163604.688665
1485,190744.824413
1486,193996.712552
1487,340167.367311
1488,238721.11292
1489,195494.934245
1490,228436.249267
1491,194896.715596
1492,94618.1703176
1493,188651.741611
1494,298518.186957
1495,294095.199981
1496,232573.796687
1497,183347.313072
1498,167618.908645
1499,162877.345509
1500,155198.989121
1501,173149.939699
1502,148775.184525
1503,286298.971655
1504,241713.06527
1505,225281.611575
1506,186983.356469
1507,242651.929903
1508,201788.217342
1509,162659.697075
1510,144914.77567
1511,149940.216746
1512,175564.974909
1513,152307.061587
1514,155404.480975
1515,194503.842797
1516,158697.841225
1517,167399.753919
1518,133639.878008
1519,211354.573433
1520,128643.706786
1521,132497.768661
1522,178097.539941
1523,111495.718065
1524,125205.838439
1525,120663.667758
1526,114353.834864
1527,108927.038625
1528,136956.513355
1529,149437.905595
1530,180934.889494
1531,107897.664525
1532,99028.1715358
1533,142964.036993
1534,126307.841899
1535,147956.00135
1536,107860.586528
1537,62969.2260855
1538,152221.401134
1539,196399.219688
1540,95700.6835898
1541,140469.382451
1542,141503.839661
1543,189721.792105
1544,84897.035728
1545,112666.77745
1546,135230.649137
1547,128126.951636
1548,138638.358874
1549,119216.776305
1550,136028.322949
1551,109965.077075
1552,135815.522296
1553,147031.981573
1554,116308.813729
1555,159460.843587
1556,86050.9534034
1557,107167.238253
1558,97972.0257195
1559,63951.8903224
1560,136428.909574
1561,127308.68341
1562,130131.29734
1563,119814.726771
1564,156059.189677
1565,152325.356249
1566,236404.493009
1567,78082.4849465
1568,231699.190994
1569,129775.602316
1570,137668.418752
1571,124305.211595
1572,142440.023356
1573,237911.119666
1574,120597.02567
1575,229294.60874
1576,239237.548564
1577,182873.560634
1578,149788.841358
1579,144095.088374
1580,196147.306075
1581,150636.464326
1582,125647.299562
1583,293634.901643
1584,218595.631716
1585,136107.751268
1586,66715.3845104
1587,105414.04667
1588,150531.185968
1589,97745.2137549
1590,134007.961858
1591,93353.0043991
1592,116637.959154
1593,127256.970559
1594,121663.646297
1595,104157.893021
1596,222889.128763
1597,193437.835755
1598,224697.553004
1599,174935.92665
1600,167036.399958
1601,68481.2208529
1602,117987.560701
1603,73438.7265269
1604,264172.661712
1605,245005.615092
1606,168077.711698
1607,174470.502906
1608,215659.179751
1609,185511.769249
1610,150252.152487
1611,139566.143354
1612,168947.913458
1613,161672.982439
1614,127397.669106
1615,92845.7345235
1616,78820.5921964
1617,94503.7485976
1618,125378.545684
1619,137377.434057
1620,145106.811728
1621,138445.220065
1622,142292.499789
1623,264321.854661
1624,211980.617317
1625,122004.313899
1626,171627.060863
1627,191310.350849
1628,281729.166967
1629,184376.997095
1630,341824.203117
1631,231020.185201
1632,246142.027866
1633,175701.266706
1634,184297.726677
1635,175905.898608
1636,154334.33814
1637,198130.815061
1638,183843.16851
1639,188392.804876
1640,250466.437536
1641,185020.944443
1642,239826.952146
1643,217404.659086
1644,234297.469725
1645,191456.02956
1646,158660.778074
1647,164971.280656
1648,131252.908238
1649,138314.28977
1650,114074.790464
1651,121066.899773
1652,97888.2574074
1653,99581.4119033
1654,145682.688283
1655,140050.512286
1656,142622.22086
1657,147840.001405
1658,145459.341293
1659,121925.232788
1660,154720.179657
1661,413651.98378
1662,404416.505006
1663,377521.748407
1664,423410.900839
1665,307294.590723
1666,333408.628595
1667,377293.740465
1668,346582.852057
1669,315993.010309
1670,352785.83849
1671,258046.598075
1672,419869.442072
1673,288200.75126
1674,243193.574331
1675,192450.425314
1676,191924.165535
1677,216501.786325
1678,446080.574235
1679,388392.500102
1680,326374.104382
1681,250918.046692
1682,319661.469778
1683,182258.229016
1684,175499.877083
1685,175694.906495
1686,168441.78248
1687,174707.658022
1688,189159.207655
1689,196194.010879
1690,197668.719748
1691,186428.479338
1692,270902.330479
1693,170664.709762
1694,183499.656187
1695,169184.216855
1696,269770.348601
1697,173076.882763
1698,344201.400724
1699,309328.653328
1700,251839.89367
1701,273973.447032
1702,240045.172477
1703,242140.540999
1704,275206.291073
1705,238667.451656
1706,356630.630863
1707,213896.335285
1708,201286.305361
1709,269436.807999
1710,218279.185627
1711,274339.162277
1712,251835.620338
1713,274619.676735
1714,222399.720707
1715,208846.817299
1716,181884.850387
1717,176471.310462
1718,137265.788773
1719,208203.685051
1720,245579.862043
1721,166928.060877
1722,127195.686288
1723,155323.065153
1724,204671.649269
1725,235994.753436
1726,186244.130379
1727,153295.631721
1728,179165.748396
1729,165817.167959
1730,156371.515815
1731,121276.753975
1732,126402.629354
1733,116663.240862
1734,123799.302538
1735,126283.70182
1736,108636.305172
1737,297926.234738
1738,243268.848482
1739,242411.690191
1740,201391.910758
1741,182796.26391
1742,172571.472341
1743,178423.599607
1744,306134.966204
1745,220389.534998
1746,199490.934291
1747,215729.484126
1748,214589.925058
1749,146487.892237
1750,128931.656318
1751,246316.527313
1752,116922.954449
1753,150997.961199
1754,199251.345775
1755,165509.539252
1756,123064.660115
1757,119833.791459
1758,145338.982791
1759,162842.433644
1760,166235.283354
1761,146690.251796
1762,177414.442547
1763,186967.334774
1764,114465.979048
1765,170019.286185
1766,188868.214895
1767,218693.679283
1768,139252.602434
1769,174939.919186
1770,150549.886266
1771,127103.0251
1772,131727.668091
1773,126765.047163
1774,140795.723417
1775,139788.420943
1776,130065.324434
1777,110630.239874
1778,137176.092823
1779,116254.143113
1780,181893.146984
1781,127808.518847
1782,88748.1185828
1783,139314.454358
1784,105188.266877
1785,123656.483868
1786,142481.214686
1787,165085.531066
1788,59944.5396955
1789,98692.5596161
1790,80148.3151164
1791,174602.7076
1792,157592.82786
1793,129384.451691
1794,150950.435243
1795,135146.037354
1796,131002.60076
1797,116151.532241
1798,121274.452564
1799,110328.658706
1800,133396.891045
1801,126329.017634
1802,146650.182562
1803,150234.569515
1804,137394.038347
1805,136339.931771
1806,122542.941592
1807,137101.290307
1808,127129.577231
1809,123015.358134
1810,140101.391193
1811,97169.3357335
1812,100378.453728
1813,122820.86941
1814,95759.2185122
1815,53841.9378995
1816,96823.2820538
1817,106566.589985
1818,141236.584853
1819,128820.270445
1820,53685.3696653
1821,119816.610178
1822,151349.582122
1823,45125.3035076
1824,129897.358559
1825,138022.454635
1826,103371.676895
1827,103626.235542
1828,135517.534643
1829,125563.949171
1830,137379.839348
1831,149930.847207
1832,72681.4238183
1833,140622.789991
1834,119169.30657
1835,126902.396084
1836,126204.967449
1837,88322.4757123
1838,123236.694914
1839,94603.5166916
1840,142340.923239
1841,136225.196319
1842,88449.6717428
1843,129044.702838
1844,144541.084179
1845,143380.336512
1846,157611.960702
1847,165943.308706
1848,52260.9736279
1849,112986.686898
1850,119161.907914
1851,150516.162289
1852,125372.311738
1853,121817.110117
1854,166517.70845
1855,152045.835591
1856,223821.250234
1857,141119.768539
1858,136938.226483
1859,121838.182823
1860,145989.214224
1861,121075.794976
1862,316157.750157
1863,297608.928557
1864,297677.16406
1865,341939.30707
1866,329907.99109
1867,231065.84124
1868,285393.920521
1869,201596.840755
1870,229333.153032
1871,258224.10934
1872,174667.199197
1873,234432.332581
1874,150742.948079
1875,200705.788157
1876,197136.722754
1877,210534.240062
1878,207660.763955
1879,129428.943773
1880,132322.173877
1881,245018.67794
1882,245343.171594
1883,188211.247144
1884,205459.748997
1885,245534.485848
1886,291332.836611
1887,213819.008379
1888,271305.486661
1889,168193.793919
1890,115830.450114
1891,136423.609567
1892,98393.9780689
1893,126943.375273
1894,124604.750524
1895,135610.260874
1896,127496.778828
1897,114068.110697
1898,109168.541988
1899,161275.801894
1900,156602.723569
1901,168833.289226
1902,154969.859748
1903,217097.017901
1904,144405.902518
1905,197994.494471
1906,155825.431374
1907,207272.689605
1908,110129.114698
1909,133474.474682
1910,121050.935969
1911,223057.68736
1912,322424.462739
1913,142828.826476
1914,55555.2386556
1915,300354.028782
1916,67173.3788557
1917,252767.658947
1918,140963.985783
1919,174401.814169
1920,157092.865952
1921,377883.010431
1922,323531.015513
1923,230064.079831
1924,217469.57899
